1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20221129" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 9.9999999999999589E-001 2.5045414968851079E+000 1.4940857468394517E+000 3.6407219190278641E+000 5.4770590673328607E+000 -3.3517205967016235E+000 1.0227371752576486E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454926E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030464652355075E+000 8.2000567574004801E-001 2.4511427002188562E+001 0.0000000000000000E+000 1.7444647242103957E+006 2.3547906095407589E+003 3.1293814445395488E+007 -2.1025726434186481E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025726434186481E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423594472585137E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.0123871452856471E-010
2 2.2000000000000003E-005 9.9999999999999101E-001 2.5013818025282277E+000 1.4940532911047260E+000 3.6399482233060074E+000 5.4770590365045297E+000 -3.3517205266024201E+000 1.0227371791034011E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454926E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030461977876321E+000 8.2000567574004801E-001 2.4511426586773595E+001 0.0000000000000000E+000 1.7442691839257819E+006 2.3721625503070331E+003 3.1522321741487008E+007 -2.1025726637943382E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025726637943382E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423594676342034E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.9873764088456311E-010
3 3.6400000000000004E-005 9.9999999999998546E-001 2.4976766999047166E+000 1.4940147272597284E+000 3.6390412295726282E+000 5.4770592782673519E+000 -3.3517200315292985E+000 1.0227372529042036E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454926E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030458921593947E+000 8.2000567574004779E-001 2.4511426129724690E+001 0.0000000000000000E+000 1.7440368718090493E+006 2.3926992409656787E+003 3.1792398987256728E+007 -2.1025721714362902E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025721714362902E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423589752761469E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.9581758522571244E-010
4 5.3680000000000001E-005 9.9999999999997857E-001 2.4933372656868764E+000 1.4939693079540750E+000 3.6379790806709948E+000 5.4770592852584317E+000 -3.3517198813857014E+000 1.0227372685533760E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454928E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030455709235142E+000 8.2000567574004779E-001 2.4511425633571417E+001 0.0000000000000000E+000 1.7437633014522984E+006 2.4169794914191234E+003 3.2111658334795248E+007 -2.1025721168977807E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025721168977807E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423589207376356E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.9242025756920491E-010
5 7.4416000000000000E-005 9.9999999999997025E-001 2.4884387810616437E+000 1.4939170906883414E+000 3.6367805681475533E+000 5.4770592488943493E+000 -3.3517197872812101E+000 1.0227372742257877E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454928E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030452291903710E+000 8.2000567574004779E-001 2.4511425102965610E+001 0.0000000000000000E+000 1.7434488385301221E+006 2.4446892749002432E+003 3.2475901756193589E+007 -2.1025721427294737E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025721427294737E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423589465693286E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.8847812145649935E-010
6 9.9299199999999986E-005 9.9999999999996070E-001 2.4828587231031474E+000 1.4938554449841925E+000 3.6354163765100038E+000 5.4770592119080250E+000 -3.3517196863505245E+000 1.0227372805142560E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030448696132421E+000 8.2000567574004779E-001 2.4511424544734854E+001 0.0000000000000000E+000 1.7430776686389993E+006 2.4766541882892061E+003 3.2895862439607617E+007 -2.1025721700157447E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025721700157447E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423589738555993E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.8407484422072134E-010
7 1.2915903999999998E-004 9.9999999999994948E-001 2.4764212864539239E+000 1.4937834159705117E+000 3.6338430318545383E+000 5.4770591754153966E+000 -3.3517195794030581E+000 1.0227372874515172E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454928E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030444978988353E+000 8.2000567574004779E-001 2.4511423967772586E+001 0.0000000000000000E+000 1.7426440807589947E+006 2.5140553591502635E+003 3.3387101201318398E+007 -2.1025721978801126E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025721978801126E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423590017199668E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.7911778594893890E-010
8 1.6499084799999998E-004 9.9999999999993605E-001 2.4690909066176623E+000 1.4937000441417747E+000 3.6320521228098412E+000 5.4770591408373797E+000 -3.3517194672642692E+000 1.0227372950996667E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454926E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030441208416018E+000 8.2000567574004779E-001 2.4511423382673030E+001 0.0000000000000000E+000 1.7421423480164376E+006 2.5573406867659205E+003 3.3955418959251300E+007 -2.1025722255617271E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025722255617271E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423590294015810E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.7347771559919743E-010
9 2.0798901759999997E-004 9.9999999999992029E-001 2.4608715195091593E+000 1.4936043921410727E+000 3.6300451020330669E+000 5.4770591101583985E+000 -3.3517193502108436E+000 1.0227373036326036E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454926E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2030437459154530E+000 8.2000567574004779E-001 2.4511422801116776E+001 0.0000000000000000E+000 1.7415668909773426E+006 2.6067754804584170E+003 3.4604173472452283E+007 -2.1025722526470197E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025722526470197E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423590564868732E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.6715626403799940E-010
